LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Đơn lẻ,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"4,207","3,948","4,956","4,681","5,223"
2. Chi phí lãi và các chi phí tương tự đã trả,"-2,028","-1,539","-2,188","-1,860","-2,340"
3. Thu nhập từ hoạt động dịch vụ nhận được,413,358,490,511,681
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",479,835,482,154,351
5. Thu nhập khác,-14,78,21,44,24
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",71,23,82,116,194
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","-1,042",-894,"-1,433","-1,467","-1,570"
8. Tiền thuế thu nhập thực nộp trong kỳ,,-170,-709,-278,-250
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"2,085","2,638","1,701","1,901","2,312"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","-4,816",-252,"-1,956","4,249","-5,580"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,-99,"-5,464","-6,045","-15,068","1,138"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,-42,6,190,,
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-7,289",-827,"-7,115","-8,436","-1,700"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,-452,"-1,956",-385,-370,-725
14. (Tăng)/Giảm khác về tài sản hoạt động,98,-311,147,-840,222
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,-41,-29,-34,-32,-39
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","4,923","9,395","17,016","-7,473","3,586"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"12,026",-554,"8,054","12,976","3,798"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"4,225","2,999","5,196","1,899","-5,841"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-15,-31,-231,8,4
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,78,-26,-44
21. Tăng/(Giảm) khác về công nợ hoạt động,59,-40,233,360,671
22. Chi từ các quỹ của TCTD,,,,,
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"10,662","5,573","16,849","-10,852","-2,199"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-196,-45,-303,-76,-189
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",,,,,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,,,,
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-196,-45,-303,-76,-189
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,"3,284",,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,-34,-106,"-1,320",-84,-112
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,"1,135",,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,"1,101","3,177","-1,320",-84,-112
IV- Lưu chuyển tiền thuần trong kỳ,"11,567","8,705","15,227","-11,012","-2,500"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,,,"56,461",
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,-67,86,-86,98,-98
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"11,499","8,791","15,140","45,547","-2,598"
